name|mana_cost|mana_value|rules_text
Pact of Negation|{0}|0|Counter target spell. At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.
Serum Visions|{U}|1|Draw a card, then scry 2.
Underworld Breach|{1}{R}|2|Each nonland card in your graveyard has escape. The escape cost is equal to its mana cost plus exiling three other cards from your graveyard. At the beginning of the end step, sacrifice Underworld Breach.
Mystic Remora|{U}|1|Cumulative upkeep {1}. Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}.
Rhystic Study|{2}{U}|3|Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.
Valley Floodcaller|{1}{U}|2|Flash. Vigilance. You may cast noncreature spells as though they had flash. Whenever you cast a noncreature spell, untap each creature you control that's an Otter, Bird, Frog, or Rat. They get +1/+1 until end of turn.
Arcane Signet|{2}|2|{T}: Add one mana
Chrome Mox|{0}|0|Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand. {T}: Add one mana of any of the exiled card's colors.
Krark's Thumb|{2}|2|Legendary Artifact. If you would flip a coin, flip two coins and choose one of them instead.
Lion's Eye Diamond|{0}|0|Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color.
Lotus Petal|{0}|0|Sacrifice Lotus Petal: Add one mana of any color.
Mox Diamond|{0}|0|If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add one mana of any color.
Sol Ring|{1}|1|{T}: Add {C}{C}.
Springleaf Drum|{1}|1|{T}, Tap an untapped creature you control: Add one mana of any color.
Ancient Tomb|Land|0|{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
Command Tower|Land|0|{T}: Add one mana of any color in your commander's color identity.
Great Furnace|Land|0|Artifact Land. {T}: Add {R}.
Otawara, Soaring City|Land|0|Legendary Land. {T}: Add {U}. Channel — {3}{U}, Discard Otawara: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less for each legendary creature you control.
Seat of the Synod|Land|0|Artifact Land. {T}: Add {U}.
Shivan Reef|Land|0|{T}: Add {C}. {T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Sulfur Falls|Land|0|Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain. {T}: Add {U} or {R}.
Island|Basic Land|0|Basic Land — Island
Mountain|Basic Land|0|Basic Land — Mountain
An Offer You Can't Refuse|{U}|1|Counter target noncreature spell. Its controller creates two Treasure tokens.
Borne Upon a Wind|{1}{U}|2|You may cast spells this turn as though they had flash. Draw a card.
Gitaxian Probe|{U/P}|1|Look at target player's hand. Draw a card. ({U/P} can be paid with either {U} or 2 life.)
Mogg Salvage|{2}{R}|3|If an opponent controls an Island and you control a Mountain, you may cast this spell without paying its mana cost. Destroy target artifact.
Peek|{U}|1|Look at target player's hand. Draw a card.
Rite of Flame|{R}|1|Add {R}{R}, then add {R} for each card named Rite of Flame in each graveyard.
Mana Vault|{1}|1|This artifact doesn't untap during your untap step. At the beginning of your draw step, if this artifact is tapped, it deals 1 damage to you. {4}: Untap this artifact. {T}: Add {C}{C}{C}.
Mox Amber|{0}|0|Legendary Artifact. {T}: Add one mana of any color among legendary creatures and planeswalkers you control.
Relic of Legends|{3}|3|{T}: Add one mana of any color. Tap an untapped legendary creature you control: Add one mana of any color.
Mana Confluence|Land|0|{T}, Pay 1 life: Add one mana of any color.
Volcanic Island|Land|0|Land — Island Mountain. {T}: Add {U} or {R}.
Fiery Islet|Land|0|Land. {T}, Pay 1 life: Add {U} or {R}. {1}, {T}, Sacrifice Fiery Islet: Draw a card.
Steam Vents|Land|0|Land — Island Mountain. As Steam Vents enters, you may pay 2 life. If you don't, it enters tapped. {T}: Add {U} or {R}.
Scalding Tarn|Land|0|{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.
Polluted Delta|Land|0|{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
Bloodstained Mire|Land|0|{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.
Misty Rainforest|Land|0|{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
Arid Mesa|Land|0|{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.
Wooded Foothills|Land|0|{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
Flooded Strand|Land|0|{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Mystical Tutor|{U}|1|Instant. Search your library for an instant or sorcery card, reveal it, then shuffle and put that card on top.
Overmaster|{R}|1|Sorcery. The next instant or sorcery spell you cast this turn can't be countered. Draw a card.
Expedite|{R}|1|Instant. Target creature gains haste until end of turn. Draw a card.
Might of the Meek|{R}|1|Instant. Target creature gains trample until end of turn. Draw a card.
Preordain|{U}|1|Sorcery. Scry 2, then draw a card.
Crimson Wisps|{R}|1|Instant. Target creature gains haste until end of turn. Draw a card.
Renegade Tactics|{R}|1|Sorcery. Target creature can't be blocked this turn. Draw a card.
Accelerate|{R}|1|Instant. Target creature gets +1/+0 and gains haste until end of turn. Draw a card.
Brightstone Ritual|{R}|1|Instant. Add {R} for each Goblin on the battlefield.
Simian Spirit Guide|{0}|0|Creature. Exile this card from your hand: Add {R}. (Modeled as a one-shot red mana source.)
Phyrexian Metamorph|{3}{U/P}|4|Artifact Creature — Phyrexian Shapeshifter. You may have this enter as a copy of any artifact or creature on the battlefield, except it's an artifact. ({U/P} = {U} or 2 life.)
Step Through|{2}|2|Sorcery. Wizardcycling {2} ({2}, Discard: search your library for a Wizard card, put it into your hand, shuffle.) (Modeled as a {2} Wizard tutor.)
Talisman of Creativity|{2}|2|Artifact. {T}: Add {C}. {T}: Add {U} or {R}, deal 1 damage to you.
Mockingbird|{1}{U}|2|Creature — Bird Bard. Enter as a copy of any creature with mana value <= mana spent (X=1 copies Krark), except it's a Bird with flying.
Roaming Throne|{4}|4|Artifact Creature — Golem. Ward {2}. As this enters, choose a creature type (Wizard). Triggered abilities of your other creatures of the chosen type trigger an additional time.
The One Ring|{4}|4|[BENCH — --add only] Legendary Artifact. Indestructible. When it enters, you gain protection from everything until your next turn. At the beginning of your upkeep, you lose 1 life for each burden counter on it. {T}: Put a burden counter on it, then draw a card for each burden counter on it.
Electro, Assaulting Battery|{1}{R}{R}|3|[BENCH — --add only] Legendary Creature — Human Villain. Flying. You don't lose unspent red mana as steps and phases end. Whenever you cast an instant or sorcery spell, add {R}. When Electro leaves the battlefield, you may pay {X}: he deals X damage to target player. (Modeled as a Birgi-clone per-cast {R} engine; leave-battlefield payoff not modeled.)
Grim Monolith|{2}|2|[BENCH — --add only] Artifact. Grim Monolith doesn't untap during your untap step. {T}: Add {C}{C}{C}. {4}: Untap Grim Monolith. (Modeled as Mana Vault minus the upkeep bleed; produces colorless only.)
Heat Shimmer|{1}{R}|2|Create a token that's a copy of target creature you control, except it has haste. Exile that token at the beginning of the next end step.
Heat Shimmer II|{2}{R}|3|[BENCH — --add only] Functional 2nd Heat Shimmer (A/B test card). Create a hasty token copy of target creature you control; exile it at the next end step.
Dragon's Rage Channeler|{R}|1|[BENCH — --add only] Creature — Human Shaman. Whenever you cast a noncreature spell, surveil 1. Delirium — with 4+ card types in your graveyard, gets +2/+2, has flying, attacks each combat if able. (Sim models the body + surveil: bins surplus lands / dupes to the yard, doubled by Harmonic Prodigy; delirium body-buff not modeled.)
Flesh Duplicate|{U}{U}|2|[BENCH — --add only] Creature — Shapeshifter Rebel. You may have this enter as a copy of any creature on the battlefield, except it has vanishing 3 if that creature doesn't have vanishing. (Modeled as a Krark-copy clone; vanishing ignored.)
